Age	AgeCat	Education	WantsMore	UseContraceptive
21	A	0	1	0
18	A	0	1	0
19	A	0	1	0
22	A	0	1	0
17	A	0	1	0
20	A	0	1	0
20	A	0	1	0
21	A	0	1	0
24	A	0	1	0
23	A	0	1	0
22	A	0	1	0
19	A	0	1	0
21	A	0	1	0
21	A	0	1	0
22	A	0	1	0
24	A	0	1	0
23	A	0	1	0
18	A	0	1	0
19	A	0	1	0
22	A	0	1	0
23	A	0	1	0
24	A	0	1	0
22	A	0	1	0
22	A	0	1	0
22	A	0	1	0
23	A	0	1	0
22	A	0	1	0
21	A	0	1	0
20	A	0	1	0
20	A	0	1	0
21	A	0	1	0
22	A	0	1	0
22	A	0	1	0
24	A	0	1	0
23	A	0	1	0
21	A	0	1	0
20	A	0	1	0
20	A	0	1	0
20	A	0	1	0
21	A	0	1	0
21	A	0	1	0
24	A	0	1	0
23	A	0	1	0
23	A	0	1	0
23	A	0	1	0
21	A	0	1	0
20	A	0	1	0
24	A	0	1	0
23	A	0	1	0
21	A	0	1	0
20	A	0	1	0
22	A	0	1	0
23	A	0	1	0
24	A	0	1	1
23	A	0	1	1
23	A	0	1	1
21	A	0	1	1
22	A	0	1	1
24	A	0	1	1
19	A	0	0	0
20	A	0	0	0
22	A	0	0	0
23	A	0	0	0
21	A	0	0	0
20	A	0	0	0
24	A	0	0	0
22	A	0	0	0
20	A	0	0	0
21	A	0	0	0
23	A	0	0	1
24	A	0	0	1
21	A	0	0	1
22	A	0	0	1
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
23	A	1	1	0
24	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
24	A	1	1	0
19	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
23	A	1	1	0
23	A	1	1	0
24	A	1	1	0
19	A	1	1	0
18	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
20	A	1	1	0
21	A	1	1	0
21	A	1	1	0
21	A	1	1	0
22	A	1	1	0
22	A	1	1	0
22	A	1	1	0
21	A	1	1	0
23	A	1	1	0
23	A	1	1	0
23	A	1	1	0
19	A	1	1	1
20	A	1	1	1
21	A	1	1	1
21	A	1	1	1
21	A	1	1	1
22	A	1	1	1
22	A	1	1	1
22	A	1	1	1
22	A	1	1	1
23	A	1	1	1
23	A	1	1	1
23	A	1	1	1
23	A	1	1	1
24	A	1	1	1
24	A	1	1	1
24	A	1	1	1
23	A	1	1	1
21	A	1	1	1
20	A	1	1	1
21	A	1	1	1
22	A	1	1	1
23	A	1	1	1
20	A	1	1	1
22	A	1	1	1
23	A	1	1	1
23	A	1	1	1
23	A	1	1	1
23	A	1	1	1
24	A	1	1	1
24	A	1	1	1
24	A	1	1	1
23	A	1	1	1
21	A	1	1	1
20	A	1	1	1
21	A	1	1	1
22	A	1	1	1
23	A	1	1	1
20	A	1	1	1
22	A	1	1	1
23	A	1	1	1
23	A	1	1	1
23	A	1	1	1
23	A	1	1	1
24	A	1	1	1
24	A	1	1	1
24	A	1	1	1
23	A	1	1	1
21	A	1	1	1
20	A	1	1	1
21	A	1	1	1
22	A	1	1	1
23	A	1	1	1
19	A	1	0	0
20	A	1	0	0
20	A	1	0	0
20	A	1	0	0
21	A	1	0	0
21	A	1	0	0
21	A	1	0	0
22	A	1	0	0
22	A	1	0	0
22	A	1	0	0
23	A	1	0	0
24	A	1	0	0
19	A	1	0	0
20	A	1	0	0
20	A	1	0	0
20	A	1	0	0
21	A	1	0	0
21	A	1	0	0
21	A	1	0	0
22	A	1	0	0
22	A	1	0	0
22	A	1	0	0
23	A	1	0	0
24	A	1	0	0
18	A	1	0	0
19	A	1	0	0
20	A	1	0	0
20	A	1	0	0
20	A	1	0	0
21	A	1	0	0
21	A	1	0	0
21	A	1	0	0
22	A	1	0	0
22	A	1	0	0
22	A	1	0	0
23	A	1	0	0
